classLabel
ADONIS
AFRICAN GIANT SWALLOWTAIL
AMERICAN SNOOT
OLEANDER HAWK MOTH
OLEANDER HAWK MOTH
OLEANDER HAWK MOTH
ORANGE OAKLEAF
ORANGE OAKLEAF
ORANGE OAKLEAF
ORANGE OAKLEAF
ORANGE OAKLEAF
ORANGE TIP
ORANGE TIP
ORANGE TIP
ORANGE TIP
ORANGE TIP
ORANGE TIP
ORCHARD SWALLOW
ORCHARD SWALLOW
ORCHARD SWALLOW
ORCHARD SWALLOW
ORCHARD SWALLOW
PAINTED LADY
PAINTED LADY
PAINTED LADY
PAINTED LADY
PAINTED LADY
PAINTED LADY
PAPER KITE
PAPER KITE
PAPER KITE
PAPER KITE
PAPER KITE
PEACOCK
PEACOCK
PEACOCK
PEACOCK
PEACOCK
PINE WHITE
PINE WHITE
PINE WHITE
PINE WHITE
PINE WHITE
PIPEVINE SWALLOW
PIPEVINE SWALLOW
PIPEVINE SWALLOW
PIPEVINE SWALLOW
PIPEVINE SWALLOW
POLYPHEMUS MOTH
POLYPHEMUS MOTH
POLYPHEMUS MOTH
POLYPHEMUS MOTH
POLYPHEMUS MOTH
POPINJAY
POPINJAY
POPINJAY
POPINJAY
POPINJAY
PURPLE HAIRSTREAK
PURPLE HAIRSTREAK
PURPLE HAIRSTREAK
PURPLE HAIRSTREAK
PURPLISH COPPER
PURPLISH COPPER
PURPLISH COPPER
QUESTION MARK
RED ADMIRAL
RED ADMIRAL
RED ADMIRAL
RED ADMIRAL
RED ADMIRAL
RED CRACKER
RED CRACKER
RED CRACKER
RED CRACKER
RED CRACKER
RED POSTMAN
RED POSTMAN
RED POSTMAN
RED POSTMAN
RED POSTMAN
RED SPOTTED PURPLE
RED SPOTTED PURPLE
RED SPOTTED PURPLE
RED SPOTTED PURPLE
RED SPOTTED PURPLE
ROSY MAPLE MOTH
ROSY MAPLE MOTH
ROSY MAPLE MOTH
ROSY MAPLE MOTH
ROSY MAPLE MOTH
SCARCE SWALLOW
SCARCE SWALLOW
SCARCE SWALLOW
SCARCE SWALLOW
SCARCE SWALLOW
SILVER SPOT SKIPPER
SILVER SPOT SKIPPER
SILVER SPOT SKIPPER
SILVER SPOT SKIPPER
SILVER SPOT SKIPPER
SILVER SPOT SKIPPER
SIXSPOT BURNET MOTH
SIXSPOT BURNET MOTH
SIXSPOT BURNET MOTH
SIXSPOT BURNET MOTH
SIXSPOT BURNET MOTH
SLEEPY ORANGE
SLEEPY ORANGE
SLEEPY ORANGE
SLEEPY ORANGE
SLEEPY ORANGE
SOOTYWING
SOOTYWING
SOOTYWING
SOOTYWING
SOOTYWING
SOUTHERN DOGFACE
SOUTHERN DOGFACE
SOUTHERN DOGFACE
SOUTHERN DOGFACE
SOUTHERN DOGFACE
SOUTHERN DOGFACE
SOUTHERN DOGFACE
STRAITED QUEEN
STRAITED QUEEN
STRAITED QUEEN
STRAITED QUEEN
STRAITED QUEEN
TROPICAL LEAFWING
TROPICAL LEAFWING
TROPICAL LEAFWING
TROPICAL LEAFWING
TROPICAL LEAFWING
TWO BARRED FLASHER
TWO BARRED FLASHER
TWO BARRED FLASHER
TWO BARRED FLASHER
TWO BARRED FLASHER
ULYSES
ULYSES
ULYSES
ULYSES
ULYSES
VICEROY
VICEROY
VICEROY
VICEROY
VICEROY
WHITE LINED SPHINX MOTH
WHITE LINED SPHINX MOTH
WHITE LINED SPHINX MOTH
WHITE LINED SPHINX MOTH
WHITE LINED SPHINX MOTH
WOOD SATYR
WOOD SATYR
WOOD SATYR
WOOD SATYR
WOOD SATYR
WOOD SATYR
YELLOW SWALLOW TAIL
YELLOW SWALLOW TAIL
YELLOW SWALLOW TAIL
ZEBRA LONG WING
ZEBRA LONG WING
ZEBRA LONG WING
ZEBRA LONG WING
ZEBRA LONG WING
